date,RF,MKT
2003-11-30,0.0014790379640627904,0.03048408299348937
2003-12-31,0.0015421362498306834,0.05988909619177085
2004-01-31,0.0008713502280335295,0.0573358553099117
2004-02-29,0.0012427328128834514,0.06303011335755637
2004-03-31,0.0012767788663377022,0.044509335527277205
2004-04-30,0.0012767773845525632,-0.09355989436920986
2004-05-31,0.0011085750404182804,-0.020524835331114044
2004-06-30,0.001699376779309425,-0.10009615643966852
2004-07-31,0.001729425872522894,-0.006446620057429686
2004-08-31,0.001719409354544732,-0.032816112581809054
2004-09-30,0.0014520052318867105,0.0491656522217927
2004-10-31,0.0011115787324873505,-0.057597644917056656
2004-11-30,0.0015110886860516537,0.01449140630267376
2004-12-31,0.0015401329722943835,-0.060178492027521124
2005-01-31,0.0013668866072189534,-0.06042007563505147
