,2020/03
re004410OF,-0.06831194101851391
re020011OF,-0.06331504378444258
re020021OF,-0.0566761538337872
re040002OF,-0.06616625359095012
re040180OF,-0.05323721933656585
re040190OF,-0.06938419028027316
re050002OF,-0.06648310078466588
re050013OF,-0.040473586433674553
re050021OF,-0.07522777976736096
re050024OF,-0.05133842130644304
re070023OF,-0.07977230485102042
re070030OF,-0.09611202621317039
re090010OF,-0.07242079190401188
re090012OF,-0.07997599960845324
re100032OF,-0.05900793935605824
re100038OF,-0.061737939570154825
re100053OF,-0.05091581953097043
re110003OF,-0.021825313515123373
re110019OF,-0.06702721259315278
re110020OF,-0.0625383227738783
re110021OF,-0.05274247749819065
re110022OF,-0.02158473366014842
re110026OF,-0.09062926884178216
re110030OF,-0.055330365990130755
re159901OF,-0.06802304871400011
re159902OF,-0.08354111228698104
re159903OF,-0.07671185589086056
re159905OF,-0.06847389315199834
re159906OF,-0.07852451052476492
re159907OF,-0.08596267238878214
re159908OF,-0.07316436240197009
re159909OF,-0.120840994667523
re159910OF,-0.07921627694882337
re159912OF,-0.07730863181822031
re159913OF,-0.07798751352606786
re159915OF,-0.08678919482657628
re159916OF,-0.08237678465748954
re159918OF,-0.0976368517497392
re159919OF,-0.06612919311202856
re159922OF,-0.06664798419887541
re159923OF,-0.05649978730252325
re159925OF,-0.06185054259896018
re159928OF,0.039113328204221906
re159929OF,0.005302535186879786
re159930OF,-0.09367739406118099
re159931OF,-0.07059581384594123
re159932OF,-0.08346875874288155
re159933OF,-0.07126925938316879
re159935OF,-0.06585604819835345
re159936OF,-0.0877566543200136
re159938OF,0.004844488419823053
re159939OF,-0.12482580974071014
re159940OF,-0.06416678912279213
re159943OF,-0.07659956469162363
re159944OF,-0.06030489006382381
re159945OF,-0.08052753846656038
re159948OF,-0.08596114732203577
re159949OF,-0.0832290857855597
re160119OF,-0.06815094910560338
re160133OF,-0.019427733537964228
re160135OF,-0.011989348383680399
re160137OF,-0.13987509154345207
re160218OF,-0.13836670484890093
re160219OF,0.03376095976248175
re160221OF,-0.08925301287490142
re160222OF,0.029989760181513773
re160223OF,-0.08480775132685645
re160225OF,-0.11745578913849243
re160322OF,-0.10506338190134744
re160516OF,-0.05614127139294629
re160517OF,-0.06718995603274912
re160615OF,-0.060973502266543446
re160616OF,-0.06555397351579167
re160620OF,-0.08409141413810978
re160625OF,-0.058341285891257734
re160626OF,-0.12362406610813745
re160628OF,-0.05574712212840679
re160629OF,-0.08707688177458522
re160630OF,-0.12268755793214134
re160631OF,-0.06971763410207654
re160632OF,-0.01345106224936588
re160633OF,-0.08276050830753455
re160634OF,-0.09746531601534943
re160635OF,0.004377892107692917
re160636OF,-0.1310024913702845
re160637OF,-0.14046572362567442
re160638OF,-0.09954656759254375
re160639OF,-0.030988770166245672
re160706OF,-0.06469468497944114
re160716OF,-0.06942684582636344
re160806OF,-0.10142434477739266
re160807OF,-0.05881436368028263
re160814OF,-0.06806427943851695
re160919OF,-0.0604389890684869
re161017OF,-0.06884073274217688
re161022OF,-0.14974064822697225
re161024OF,-0.3325467990211528
re161025OF,-0.1442037513045598
re161026OF,-0.07261236353936296
re161027OF,0.12181977565070523
re161028OF,-0.26400674763422666
re161029OF,-0.07220107831278968
re161030OF,-0.009692568606183031
re161031OF,-0.11685717589607533
re161032OF,-0.04562346703524761
re161033OF,-0.1434488020545747
re161035OF,0.04738937682896972
re161036OF,-0.0862655341439154
re161121OF,-0.0667002758028157
re161122OF,0.010212177531074038
