,thscode,ths_fund_scale_fund
97,001104.OF,1504873381.12
98,001105.OF,486840653.73
99,001113.OF,2850390540.38
100,001126.OF,1792955523.85
101,001133.OF,287588620.18
102,001149.OF,30607354.3
103,001158.OF,1883976397.93
104,001162.OF,107491703.44
105,001163.OF,598947202.2
106,001166.OF,1941546896.55
107,001167.OF,510674792.6200001
108,001171.OF,789329834.0299999
109,001178.OF,3051721551.110001
110,001180.OF,1430780462.34
111,001186.OF,995117798.1799998
112,001188.OF,1274794923.73
113,001193.OF,168168299.3
114,001195.OF,879573997.16
115,001208.OF,671659437.4499999
116,001214.OF,178828819.03
117,001223.OF,70825650.35000001
118,001230.OF,1321795090.1
119,001236.OF,846251245.08
120,001237.OF,459182767.8900001
121,001241.OF,756014565.9900001
122,001242.OF,990278500.42
123,001243.OF,177247594.8800001
124,001245.OF,1004215357.22
125,001277.OF,1032994079.82
126,001291.OF,430811151.0199999
127,001313.OF,1788620407.98
128,001319.OF,1652556049.04
129,001351.OF,105026321.53
130,001361.OF,328241505.16
131,001396.OF,1013452139.91
132,001397.OF,88585619.50000001
133,001404.OF,1285619880.17
134,001409.OF,3671076476.24
135,001410.OF,2970424198.11
136,001416.OF,4484091113.02
137,001420.OF,413542598.86
138,001421.OF,445318527.3699999
139,001426.OF,58272013.96999999
140,001455.OF,327928756.02
141,001469.OF,301144513.87
142,001473.OF,220533326.13
143,001476.OF,1619051382.3
144,001482.OF,64385923.49999999
145,001490.OF,605380051.1900002
146,001496.OF,189565619.17
147,001521.OF,135162350.56
148,001528.OF,345071074.33
149,001539.OF,53402676.36999998
150,001541.OF,443132335.4700002
151,001542.OF,1706515570.4
152,001548.OF,808736476.0700002
153,001549.OF,421339216.0399999
154,001550.OF,484787406.5699999
155,001551.OF,266650653.5000001
156,001552.OF,301112845.34
157,001553.OF,603734399.3899999
158,001577.OF,189378271.9200001
159,001583.OF,1698142517.27
160,001588.OF,116567743.19
161,001589.OF,26994083.84
162,001592.OF,1001086952.09
163,001593.OF,1517637216.15
164,001594.OF,849129641.8400002
165,001595.OF,1336272210.030001
166,001605.OF,756821803.16
167,001616.OF,3428101390.03
168,001617.OF,200565525.78
169,001618.OF,535415639.5700001
170,001626.OF,199383149.15
171,001628.OF,48091681.01
172,001629.OF,231069181.2300001
173,001630.OF,815482359.38
174,001631.OF,279922622.24
175,001632.OF,436939784.5900002
176,001637.OF,285489263.15
177,001638.OF,24213279.97
178,001643.OF,137014550.93
179,001644.OF,73781059.18000002
180,001645.OF,568430531.69
181,001651.OF,261572567.29
182,001672.OF,312504772.9499999
183,001677.OF,291722880.37
184,001685.OF,384671548.8499999
185,001692.OF,202054688.95
186,001703.OF,179502116.4799999
187,001705.OF,642733948.7299999
188,001714.OF,2964640468.4
189,001717.OF,1139828764.7
190,001718.OF,55776206.22
191,001719.OF,119556504.94
192,001725.OF,2168013682.51
193,001726.OF,488551856.82
194,001733.OF,70194966.01000002
195,001736.OF,685066137.3400002
196,001764.OF,479956168.43
197,001766.OF,526415896.65
198,001781.OF,26974398.78
199,001825.OF,93158779.85
200,001849.OF,15519091.45
201,001877.OF,79217204.05999999
202,001878.OF,4983947179.640001
203,001899.OF,41064990.36
204,001915.OF,179400875.78
205,001917.OF,55988255.42999999
206,001938.OF,12688488726.11
207,001956.OF,312320715.24
208,001974.OF,495747128.9799999
209,001975.OF,2108062802.12
210,002063.OF,94666343.47000001
211,002121.OF,5001902503.779999
212,002168.OF,1077491093.13
213,002199.OF,172731356.53
214,002210.OF,560663663.8899999
215,002229.OF,1154750255.68
216,002236.OF,88984653.57
217,002300.OF,49140008.45
218,002310.OF,105663899.87
219,002311.OF,361150667.12
220,002315.OF,267671414.9
221,002316.OF,212412000.93
222,002332.OF,1014022945.49
223,002333.OF,81812069.9
224,002334.OF,64319909.38
225,002335.OF,6252448.700000002
226,002385.OF,207191841.23
227,002387.OF,1776314472.36
228,002510.OF,206383149.43
229,002556.OF,4871174.55
230,002595.OF,60874522.50000002
231,002621.OF,246871779.01
232,002656.OF,943604888.4599999
233,002670.OF,231934934.13
234,002671.OF,31341331.95
235,002697.OF,99288604.04999998
236,002871.OF,10864904.88
237,002872.OF,9920110.42
238,002900.OF,351140163.14
239,002903.OF,2686617299.74
240,002906.OF,391031460.7
241,002907.OF,136355607.62
242,002952.OF,109484102.38
243,002974.OF,368330871.74
244,002977.OF,34972821.34000001
245,002978.OF,119730663.88
246,002979.OF,386173585.33
247,002980.OF,454774651.05
248,002982.OF,46059176.39
249,002984.OF,142809344.99
250,002987.OF,1499408219.8
251,003015.OF,79053881.18999998
252,003016.OF,77421437.88999999
253,003017.OF,128144222.98
254,003053.OF,249581190.59
255,003054.OF,46650181.13
256,003145.OF,91073976.51
257,003190.OF,28645398.95
258,003191.OF,67093879.76000001
259,003194.OF,606434763.42
260,003230.OF,16241456.75
261,003231.OF,46724248.2
262,003232.OF,5981555.060000002
263,003233.OF,3923787.16
264,003298.OF,97004735.72
265,003299.OF,19332445.26
266,003318.OF,1832466277.0
267,003359.OF,9154579.64
268,003366.OF,37002310.64
269,003416.OF,16659317.35
270,003475.OF,64486880.59
271,003548.OF,27411048.3
272,003578.OF,31375561.08
273,003579.OF,62857317.81
274,003624.OF,59920205.87
275,003625.OF,59223947.14000001
276,003634.OF,415832970.23
277,003646.OF,49794046.13
278,003647.OF,82076231.84000002
279,003853.OF,524457537.84
280,003865.OF,4124349.830000001
281,003876.OF,341178194.2000001
282,003884.OF,148669099.56
283,003885.OF,54336172.06999999
284,003956.OF,304271961.3
285,003957.OF,2925715.84
286,003958.OF,108458781.7
287,003984.OF,449436720.45
288,003985.OF,174477833.74
289,003986.OF,958248636.02
290,004069.OF,548744889.96
291,004070.OF,1404117399.32
292,004075.OF,618494972.87
293,004189.OF,19181870.62
294,004190.OF,107529858.86
295,004191.OF,173832186.95
296,004194.OF,15904189.91
297,004195.OF,26019795.98
298,004241.OF,1306402884.85
299,004342.OF,35487796.81999999
300,004343.OF,238192379.31
301,004344.OF,5440308.850000002
302,004345.OF,8163476.730000001
303,004346.OF,1418184.08
304,004347.OF,399760005.29
305,004348.OF,2115197001.69
306,004408.OF,2588996.4
307,004409.OF,8437526.309999999
308,004410.OF,12840622.05
309,020011.OF,2211605149.73
310,020021.OF,1256100508.7
311,040002.OF,2677176392.519999
312,040180.OF,302223003.86
313,040190.OF,75648373.51999998
314,050002.OF,6337743001.719999
315,050013.OF,178799903.76
316,050021.OF,71953150.31
317,050024.OF,41326838.00999999
318,070023.OF,1398297660.82
319,070030.OF,114930684.07
320,090010.OF,1754572732.72
321,090012.OF,139725226.39
322,100032.OF,3940854495.96
323,100038.OF,11895449861.28
324,100053.OF,104971575.43
325,110003.OF,17186049874.65
326,110019.OF,1520769788.53
327,110020.OF,5836476876.300001
328,110021.OF,202271937.87
329,110022.OF,20529301497.74001
330,110026.OF,4231476278.060001
331,110030.OF,1234729398.77
332,159901.OF,8054805642.23
333,159902.OF,2365394329.91
334,159903.OF,401935778.4700001
335,159905.OF,1832917271.77
336,159906.OF,139639580.43
337,159907.OF,217876830.11
338,159908.OF,100785400.17
339,159909.OF,342906232.54
340,159910.OF,1463529936.04
341,159912.OF,120533108.51
342,159913.OF,75463103.55
343,159915.OF,16731465586.64
344,159916.OF,1007187049.53
345,159918.OF,121583813.5
346,159919.OF,27183389199.65001
347,159922.OF,3487745146.67
348,159923.OF,33281868.04
349,159925.OF,1733429045.99
350,159928.OF,3531782984.08
351,159929.OF,348497461.58
352,159930.OF,30150632.92
353,159931.OF,32206541.88
354,159932.OF,32449812.22
355,159933.OF,429411037.46
356,159935.OF,314965629.69
357,159936.OF,314854698.33
358,159938.OF,2412702436.710001
359,159939.OF,1435122345.38
360,159940.OF,675076610.39
361,159943.OF,251618994.01
362,159944.OF,22629184.3
363,159945.OF,29942360.96000001
364,159948.OF,1216184493.77
365,159949.OF,5510594886.7
366,160119.OF,9297943592.950003
367,160133.OF,2215005001.01
368,160135.OF,181320564.29
369,160137.OF,181418422.45
370,160218.OF,797064014.47
371,160219.OF,1254990277.47
372,160221.OF,3007114926.74
373,160222.OF,2683530635.59
374,160223.OF,134167378.63
375,160225.OF,461995021.0300001
376,160322.OF,144184000.86
377,160516.OF,187599894.16
378,160517.OF,142295725.55
379,160615.OF,419804094.36
380,160616.OF,306455840.0700001
381,160620.OF,156415194.12
382,160625.OF,1288721378.72
383,160626.OF,398761391.27
384,160628.OF,387136175.72
385,160629.OF,304304281.33
386,160630.OF,6547915935.54
387,160631.OF,4177725350.199999
388,160632.OF,660337107.5200001
389,160633.OF,862498711.4499998
390,160634.OF,85560965.28999998
391,160635.OF,57095540.62
392,160636.OF,134487831.34
393,160637.OF,316162434.1800001
394,160638.OF,409186297.4399999
395,160639.OF,111420624.6
396,160706.OF,18865955035.02
397,160716.OF,2105104732.0
398,160806.OF,369897404.17
399,160807.OF,220009050.55
400,160814.OF,252080585.1
401,160919.OF,223468507.06
402,161017.OF,5896351460.47
403,161022.OF,4229978565.379999
404,161024.OF,7373537216.029997
405,161025.OF,1205222723.49
406,161026.OF,6996953274.510001
407,161027.OF,2856642969.830001
408,161028.OF,3652110214.690001
409,161029.OF,441952285.68
410,161030.OF,148045418.01
411,161031.OF,1546949784.44
412,161032.OF,286463614.27
413,161033.OF,106694838.88
414,161035.OF,214555763.8200001
415,161036.OF,43291632.07999999
416,161121.OF,261374911.56
417,161122.OF,170103587.64
418,161123.OF,725313187.19
419,161211.OF,452114561.13
420,161217.OF,127525168.85
421,161227.OF,379116777.6700001
422,161604.OF,5421341182.06
423,161607.OF,1146475574.84
424,161612.OF,137835899.2
425,161613.OF,794790684.8799999
426,161718.OF,25838790.64
427,161720.OF,7504708126.899999
428,161721.OF,244637822.24
429,161723.OF,523699294.6899999
430,161724.OF,537995038.8100002
431,161725.OF,10942663626.13
432,161726.OF,555821013.7700001
433,161811.OF,206077489.79
434,161812.OF,5239477827.520001
435,161907.OF,41750034.39
436,162107.OF,10070332.62
437,162208.OF,440624075.99
438,162213.OF,312395101.42
439,162216.OF,263543940.99
440,162307.OF,214546312.2800001
441,162413.OF,47140075.82
442,162509.OF,220831838.54
443,162510.OF,9409550.56
444,162711.OF,1711973692.71
445,162714.OF,31475522.53
446,162907.OF,45556692.2
447,163109.OF,2956177892.34
448,163110.OF,818670113.23
449,163113.OF,3482721180.650001
450,163114.OF,320447488.68
451,163115.OF,1051638098.57
452,163118.OF,440112758.33
453,163209.OF,16970956.93
454,163407.OF,5051758377.62
455,163808.OF,511132042.2499999
456,163821.OF,157715105.87
457,164205.OF,476700212.7599999
458,164304.OF,63376505.47000001
459,164401.OF,288847221.5100001
460,164402.OF,1037937332.3
461,164508.OF,152939645.22
462,164809.OF,154750445.62
463,164811.OF,18730204.41
464,164908.OF,113755118.66
465,165309.OF,554267237.3400002
466,165310.OF,115418217.01
467,165312.OF,1011395019.42
468,165511.OF,242843281.26
469,165515.OF,381927216.5600001
470,165519.OF,172381247.41
471,165520.OF,145380331.38
472,165521.OF,818054563.5399998
473,165522.OF,138451029.97
474,165523.OF,155354623.34
475,165524.OF,41827865.59
476,165525.OF,169369739.9
477,165806.OF,8367944.739999999
478,166802.OF,285097894.79
479,167301.OF,528575345.84
480,167503.OF,159391380.05
481,167702.OF,123523243.81
482,167703.OF,20584798.28
483,168203.OF,245068906.6099999
484,168204.OF,454888267.59
485,180003.OF,2263096095.430001
486,200002.OF,881990097.81
487,202015.OF,1459440373.62
488,202017.OF,261571053.61
489,202021.OF,555172189.78
490,202025.OF,181665293.04
491,202211.OF,218286731.79
492,206012.OF,179755093.27
493,213010.OF,234932920.35
494,217016.OF,99497032.25
495,217017.OF,116331525.97
496,217019.OF,315114326.9499999
497,217027.OF,569852986.0300001
498,233010.OF,45103102.26
499,240014.OF,749105657.4800001
500,240016.OF,145786330.7
501,257060.OF,97704254.09999996
502,270010.OF,2204481341.72
503,270026.OF,201394886.24
504,290010.OF,53966231.42
505,310318.OF,512727978.08
506,310398.OF,1458238714.46
507,320010.OF,327512021.4300001
508,320014.OF,265838959.0899999
509,320020.OF,126852181.34
510,320022.OF,513649415.67
511,340006.OF,1698386050.89
512,360001.OF,3429320204.85
513,370023.OF,31829357.46
514,376510.OF,319402181.2300001
515,399001.OF,338163664.4300001
516,399011.OF,1901066469.82
517,410008.OF,242455162.86
518,410010.OF,25876435.46
519,450008.OF,244193848.4899999
520,450009.OF,3078997238.04
521,460220.OF,66957806.56
522,460300.OF,1649742331.64
523,470007.OF,1098420217.82
524,470068.OF,89335112.83000001
525,481009.OF,3301500971.980001
526,481012.OF,1323543982.42
527,501005.OF,385983689.0100001
528,501006.OF,154137200.17
529,501007.OF,42481511.52
530,501008.OF,90711387.16000001
531,501009.OF,112132803.69
532,501010.OF,129682525.22
533,501011.OF,107833050.23
534,501012.OF,102109133.69
535,501019.OF,282990574.66
536,501025.OF,371874637.82
537,501029.OF,2273435014.89
538,501030.OF,52045065.39000001
539,501031.OF,41797521.84
540,501050.OF,1641916745.34
541,502000.OF,389106677.58
542,502003.OF,190645237.99
543,502006.OF,262989111.96
544,502010.OF,808685678.9199998
545,502013.OF,668178552.38
546,502020.OF,89565585.90999998
547,502023.OF,348645002.3900001
548,502048.OF,507940184.9999999
549,502053.OF,121479593.28
550,502056.OF,103862305.05
551,510010.OF,351662807.98
552,510020.OF,201470517.33
553,510030.OF,174021891.81
554,510050.OF,46191167536.83001
555,510060.OF,141742391.54
556,510090.OF,100081228.12
557,510110.OF,36957451.72000001
558,510120.OF,22454985.11
559,510130.OF,243811263.02
560,510150.OF,165244924.42
561,510160.OF,555302296.4599999
562,510170.OF,120514866.41
563,510180.OF,19956205311.5
564,510190.OF,91035950.92999998
565,510210.OF,198004492.84
566,510220.OF,81869546.98000002
567,510230.OF,4874136817.339999
568,510270.OF,16271450.5
569,510290.OF,210060594.17
570,510300.OF,40319878813.84
571,510310.OF,9264095573.08
572,510330.OF,31140013496.13
573,510360.OF,3859140934.26
574,510410.OF,116651951.11
575,510440.OF,35167273.58
576,510500.OF,44539669173.68
577,510510.OF,5078209628.1
578,510560.OF,717909176.4000001
579,510580.OF,903301912.8799999
580,510630.OF,225499887.2300001
581,510650.OF,37809646.38
582,510660.OF,101569865.49
583,510680.OF,167239451.69
584,510710.OF,748551647.5000001
585,510810.OF,12065936584.22
586,510880.OF,3069282716.48
587,512000.OF,5680402806.680001
588,512010.OF,1343720892.34
589,512070.OF,2095613334.06
590,512100.OF,199107082.16
591,512120.OF,89024681.26
592,512220.OF,318205304.16
593,512330.OF,781684070.68
594,512500.OF,5597659216.95
595,512510.OF,713093598.42
596,512580.OF,1839217988.4
597,512600.OF,17688677.71
598,512610.OF,14369248.96
599,512640.OF,56995616.91000001
600,512660.OF,2447790835.41
601,512680.OF,434621526.8500001
602,512810.OF,59745348.48
603,512880.OF,13968033026.87
604,512900.OF,2016541185.54
605,512990.OF,556166405.1800001
606,513660.OF,1046312488.81
607,519027.OF,20551657.43
608,519032.OF,14838137.89
609,519034.OF,19645642.44
610,519100.OF,393410234.4800001
611,519116.OF,335082725.7699999
612,519117.OF,41809036.1
613,519180.OF,1401865680.97
614,519193.OF,1434055015.04
615,519300.OF,2052189960.7
616,519606.OF,1072197476.76
617,519671.OF,1603869209.12
618,519673.OF,491429353.49
619,519677.OF,365592304.8899999
620,519686.OF,355761884.46
621,519706.OF,74198309.54999998
622,519714.OF,372259248.08
623,519935.OF,23346884.37
624,519965.OF,87108259.03
625,519975.OF,630104138.1299999
626,530010.OF,104347189.88
627,530015.OF,986957002.65
628,530018.OF,94539662.72
629,540006.OF,3153090089.38
630,540007.OF,71293637.86
631,540008.OF,462782412.16
632,540009.OF,257798427.21
633,540010.OF,796771317.8899999
634,540012.OF,503124047.79
635,580008.OF,375276474.08
636,585001.OF,80025857.64999999
637,590007.OF,36176016.91
638,660008.OF,845898804.6800001
639,660011.OF,102581483.56
640,673090.OF,126958432.45
641,673100.OF,36230004.92
642,690008.OF,83658053.43999997
643,700002.OF,83351188.88
644,740101.OF,52557751.57000001
645,960000.OF,202354021.2
646,960022.OF,0.0
