,thscode,ths_fund_scale_fund
145,001490.OF,998659615.7600001
146,001496.OF,268932540.16
147,001521.OF,685906190.97
148,001528.OF,377060225.66
149,001539.OF,40413783.52
150,001541.OF,573062589.64
151,001542.OF,4591653729.29
152,001548.OF,252075666.4700001
153,001549.OF,88702348.21
154,001550.OF,119872196.74
155,001551.OF,50244523.95
156,001552.OF,100400887.89
157,001553.OF,83807418.78
158,001577.OF,298415981.68
159,001583.OF,482555358.1799999
160,001588.OF,133755118.0
161,001589.OF,9287608.61
162,001592.OF,353401628.8900001
163,001593.OF,303363996.93
164,001594.OF,74489968.43999998
165,001595.OF,68981402.81
166,001605.OF,101332689.39
167,001616.OF,3241245978.62
168,001617.OF,72750608.20999998
169,001618.OF,163218785.46
170,001626.OF,224378994.33
171,001628.OF,57080892.09000001
172,001629.OF,58339680.34
173,001630.OF,102549851.02
174,001631.OF,237819679.84
175,001632.OF,177569728.34
176,001637.OF,412715156.86
177,001638.OF,11008573.02
178,001643.OF,74864536.59
179,001644.OF,19116203.13
180,001645.OF,294741773.1699999
181,001651.OF,400997881.0399999
182,001672.OF,587016395.99
183,001677.OF,183771229.22
184,001685.OF,862002511.36
185,001692.OF,180244036.65
186,001703.OF,254403239.08
187,001705.OF,643745342.0600001
188,001714.OF,300706741.0700001
189,001717.OF,188515096.28
190,001718.OF,55657085.47000001
191,001719.OF,70526865.83999999
192,001725.OF,2024328997.17
193,001726.OF,900879284.4800001
194,001733.OF,113529295.14
195,001736.OF,1026352735.13
196,001764.OF,1616531791.18
197,001766.OF,135263933.77
198,001781.OF,42222217.95999999
199,001825.OF,201687145.7
200,001849.OF,28212066.07
201,001877.OF,100566628.92
202,001878.OF,7744730658.879999
203,001899.OF,68755832.86999999
204,001915.OF,336141413.48
205,001917.OF,76052496.11000001
206,001938.OF,2445898732.74
207,001956.OF,139133132.84
208,001974.OF,556688192.61
209,001975.OF,570493251.1300001
210,002063.OF,27842846.12
211,002121.OF,2129095150.32
212,002168.OF,259056172.0099999
213,002199.OF,143134836.05
214,002210.OF,1097631377.79
215,002229.OF,194589873.43
216,002236.OF,84221016.07999998
217,002300.OF,75724556.98999998
218,002310.OF,229852398.6
219,002311.OF,183629225.8
220,002315.OF,259516735.93
221,002316.OF,9733347.519999998
222,002332.OF,689607808.75
223,002333.OF,146704319.43
224,002334.OF,95261880.0
225,002335.OF,9797809.899999999
226,002385.OF,159840335.0
227,002387.OF,1993198740.86
228,002510.OF,110179927.15
229,002556.OF,1799631.27
230,002595.OF,37768504.64
231,002621.OF,75406031.99999999
232,002656.OF,274738050.09
233,002670.OF,99002475.50000001
234,002671.OF,113203.82
235,002697.OF,12995004.05
236,002871.OF,392241.9
237,002872.OF,0.0
238,002900.OF,86091913.07000001
239,002903.OF,277935213.93
240,002906.OF,311945328.05
241,002907.OF,30841287.35
242,002952.OF,107584498.94
243,002974.OF,34034205.81
244,002977.OF,2446361.52
245,002978.OF,31571557.47
246,002979.OF,78923105.66
247,002980.OF,302721811.2499999
248,002982.OF,10178817.1
249,002984.OF,114007073.41
250,002987.OF,372097031.8700001
251,003015.OF,13086807.92
252,003016.OF,14467345.35
253,003017.OF,91844907.86
254,003053.OF,234904503.75
255,003054.OF,32748784.97999999
256,003145.OF,102160364.73
257,003190.OF,505801653.3
258,003191.OF,71181.43000000001
259,003194.OF,995575437.9499998
260,003230.OF,4458734.53
261,003231.OF,62444.64
262,003232.OF,4296075.810000001
263,003233.OF,294408.77
264,003298.OF,128401922.07
265,003299.OF,37634706.14
266,003318.OF,177889565.22
267,003359.OF,4178383.11
268,003366.OF,76160809.66
269,003416.OF,30137725.26
270,003475.OF,60335032.95999999
271,003548.OF,1119185.43
272,003578.OF,938284.63
273,003579.OF,327152.01
274,003624.OF,209006825.95
275,003625.OF,288064153.86
276,003634.OF,308191901.92
277,003646.OF,205305541.73
278,003647.OF,10001754.96
279,003853.OF,488382.26
280,003865.OF,50974374.99
281,003876.OF,315506483.62
282,003884.OF,74663779.04999997
283,003885.OF,1054125.08
284,003956.OF,151415820.78
285,003957.OF,486758.35
286,003958.OF,166680613.93
287,003984.OF,475419090.12
288,003985.OF,28747684.19
289,003986.OF,105258846.87
290,004069.OF,50014544.81999999
291,004070.OF,97311975.13000001
292,004075.OF,373502373.1
293,004189.OF,45049108.86000001
294,004190.OF,266915890.98
295,004191.OF,34289920.20999999
296,004194.OF,143276525.87
297,004195.OF,11424627.57
298,004241.OF,24768898.47
299,004342.OF,14558852.16
300,004343.OF,20594708.97
301,004344.OF,2295317.76
302,004345.OF,870620.0800000001
303,004346.OF,1540743.21
304,004347.OF,1923977.78
305,004348.OF,106746526.53
306,004408.OF,40248.56
307,004409.OF,27455.57
308,004410.OF,1563178.16
309,020011.OF,1897815936.42
310,020021.OF,586382294.49
311,040002.OF,2310622386.04
312,040180.OF,340654341.2899999
313,040190.OF,103835939.02
314,050002.OF,5665519728.910001
315,050013.OF,218007627.54
316,050021.OF,49342652.88999999
317,050024.OF,56710217.16999999
318,070023.OF,165214051.94
319,070030.OF,118324737.1
320,090010.OF,193130109.73
321,090012.OF,157283632.82
322,100032.OF,1591898219.15
323,100038.OF,2225613372.73
324,100053.OF,97594847.85
325,110003.OF,11128390178.72
326,110019.OF,1704437832.77
327,110020.OF,4200192541.53
328,110021.OF,215980501.5
329,110022.OF,13308301779.75
330,110026.OF,1501706912.59
331,110030.OF,1273958272.59
332,159901.OF,4048742559.980001
333,159902.OF,2628453724.73
334,159903.OF,454122828.1200001
335,159905.OF,924022283.1200001
336,159906.OF,154698913.96
337,159907.OF,230156107.84
338,159908.OF,55212442.05
339,159909.OF,76761122.61
340,159910.OF,157500607.22
341,159912.OF,91672177.4
342,159913.OF,64996291.28
343,159915.OF,5165768469.639999
344,159916.OF,208162230.56
345,159918.OF,113673017.43
346,159919.OF,18339948550.23
347,159922.OF,1031894668.15
348,159923.OF,27183442.28
349,159925.OF,1169879459.64
350,159928.OF,1570186586.63
351,159929.OF,94631746.33999999
352,159930.OF,12119263.55
353,159931.OF,30223468.08000001
354,159932.OF,34432130.01
355,159933.OF,459229605.76
356,159935.OF,310900013.4499999
357,159936.OF,344165737.71
358,159938.OF,1030512424.05
359,159939.OF,341355490.9500001
360,159940.OF,162087726.63
361,159943.OF,336629678.33
362,159944.OF,64775013.38
363,159945.OF,120643217.58
364,159948.OF,336318177.58
365,159949.OF,201607100.34
366,160119.OF,4157669022.600001
367,160133.OF,550165771.9699999
368,160135.OF,246345414.73
369,160137.OF,233049169.19
370,160218.OF,1124214677.15
371,160219.OF,3310916048.24
372,160221.OF,908806225.12
373,160222.OF,1529736373.0
374,160223.OF,51457167.61
375,160225.OF,410747002.04
376,160322.OF,375421128.49
377,160516.OF,212879126.1700001
378,160517.OF,139752534.97
379,160615.OF,358430569.22
380,160616.OF,320804630.27
381,160620.OF,377485472.7
382,160625.OF,1308068010.19
383,160626.OF,302265255.88
384,160628.OF,274598718.8300001
385,160629.OF,411096848.3
386,160630.OF,7936930229.190001
387,160631.OF,5059892475.099999
388,160632.OF,312084765.86
389,160633.OF,712845176.0999998
390,160634.OF,137723562.19
391,160635.OF,29723502.3
392,160636.OF,152071111.92
393,160637.OF,417934608.66
394,160638.OF,664666879.7199999
395,160639.OF,267287558.1699999
396,160706.OF,16959716955.4
397,160716.OF,1769637765.51
398,160806.OF,150482345.9
399,160807.OF,55054522.19000001
400,160814.OF,242820572.82
401,160919.OF,230738291.77
402,161017.OF,1087571748.1
403,161022.OF,5149167663.159999
404,161024.OF,11326385175.3
405,161025.OF,1311031278.61
406,161026.OF,10552028348.01
407,161027.OF,3539114792.86
408,161028.OF,3275857599.15
409,161029.OF,644035034.21
410,161030.OF,168262832.94
411,161031.OF,1878652610.57
412,161032.OF,336988898.3
413,161033.OF,62979202.51000001
414,161035.OF,171401803.56
415,161036.OF,80489541.96000001
416,161121.OF,288210527.3200001
417,161122.OF,199552626.0
418,161123.OF,1354063523.03
419,161211.OF,488878912.5200001
420,161217.OF,178621741.39
421,161227.OF,503190438.91
422,161604.OF,7817292204.36
423,161607.OF,844685816.92
424,161612.OF,154187855.93
425,161613.OF,476213754.15
426,161718.OF,19531229.01
427,161720.OF,8642539887.91
428,161721.OF,80731448.36
429,161723.OF,265086280.03
430,161724.OF,522315422.2300001
431,161725.OF,5476721791.000002
432,161726.OF,432516721.8300001
433,161811.OF,133973170.49
434,161812.OF,3251532745.200001
435,161907.OF,52212017.79
436,162107.OF,17022616.48
437,162208.OF,533217440.3099999
438,162213.OF,101091466.95
439,162216.OF,297209342.16
440,162307.OF,99978822.30999999
441,162413.OF,62311486.07
442,162509.OF,196705533.98
443,162510.OF,15089746.65
444,162711.OF,1238811562.56
445,162714.OF,96851012.70000003
446,162907.OF,56778325.95000001
447,163109.OF,2339036988.22
448,163110.OF,2040008442.09
449,163113.OF,4767111423.690001
450,163114.OF,811538049.1600001
451,163115.OF,1929832460.17
452,163118.OF,804285931.7299999
453,163209.OF,15060833.51
454,163407.OF,1351577234.98
455,163808.OF,380324560.1999999
456,163821.OF,32721887.72
457,164205.OF,48110416.31000001
458,164304.OF,195622294.52
459,164401.OF,419659615.6499999
460,164402.OF,5716464075.200002
461,164508.OF,87282129.95
462,164809.OF,203179372.63
463,164811.OF,42741487.21
464,164908.OF,135309774.55
465,165309.OF,521854891.2499999
466,165310.OF,165888062.28
467,165312.OF,939450058.2799999
468,165511.OF,306247919.9500001
469,165515.OF,270847242.56
470,165519.OF,246826824.42
471,165520.OF,276980875.74
472,165521.OF,1079557733.83
473,165522.OF,296282078.6099999
474,165523.OF,179481255.61
475,165524.OF,68312515.18999998
476,165525.OF,140265068.96
477,165806.OF,7049146.129999999
478,166802.OF,105894639.26
479,167301.OF,734986996.24
480,167503.OF,570221534.1
481,167702.OF,24036812.16
482,167703.OF,61548163.44000001
483,168203.OF,556271620.3000001
484,168204.OF,1128974375.43
485,180003.OF,2618765777.6
486,200002.OF,685424518.22
487,202015.OF,915341715.49
488,202017.OF,303191555.1900001
489,202021.OF,826402307.04
490,202025.OF,197915941.03
491,202211.OF,408834429.78
492,206012.OF,57825410.67
493,213010.OF,220324603.83
494,217016.OF,79852938.40999998
495,217017.OF,128197921.85
496,217019.OF,75032809.34
497,217027.OF,219134939.06
498,233010.OF,52245591.69
499,240014.OF,783653569.6899998
500,240016.OF,213788046.94
501,257060.OF,123201935.46
502,270010.OF,1243175244.8
503,270026.OF,217575079.51
504,290010.OF,56377965.65
505,310318.OF,471314381.85
506,310398.OF,323802575.45
507,320010.OF,225749663.34
508,320014.OF,53104632.02
509,320020.OF,1392473932.73
510,320022.OF,648353915.42
511,340006.OF,1565679052.78
512,360001.OF,2708585565.37
513,370023.OF,23958980.59
514,376510.OF,423141848.4400001
515,399001.OF,145203034.89
516,399011.OF,146149864.63
517,410008.OF,101530709.22
518,410010.OF,8869854.49
519,450008.OF,251268384.94
520,450009.OF,1601315505.62
521,460220.OF,62976910.40000001
522,460300.OF,54680279.44
523,470007.OF,1251515493.75
524,470068.OF,77956401.8
525,481009.OF,2044715946.46
526,481012.OF,823152051.9000002
527,501005.OF,437412975.17
528,501006.OF,90100379.14999999
529,501007.OF,44444622.59
530,501008.OF,15340563.83
531,501009.OF,52172104.74000001
532,501010.OF,112888026.06
533,501011.OF,34703072.01
534,501012.OF,18222365.64
535,501019.OF,172745668.42
536,501025.OF,70142553.52
537,501029.OF,916840354.4700001
538,501030.OF,78055646.83000001
539,501031.OF,45447239.27
540,501050.OF,435458305.85
541,502000.OF,216102511.8
542,502003.OF,415762886.57
543,502006.OF,393169076.68
544,502010.OF,340801652.1
545,502013.OF,1250774997.52
546,502020.OF,83932353.33999999
547,502023.OF,316244751.4700001
548,502048.OF,384350029.8200001
549,502053.OF,160865078.39
550,502056.OF,122660845.1
551,510010.OF,478742616.66
552,510020.OF,246008969.87
553,510030.OF,226946873.14
554,510050.OF,38085289036.13
555,510060.OF,222993731.63
556,510090.OF,116717771.73
557,510110.OF,34501493.4
558,510120.OF,29403580.76
559,510130.OF,258606111.35
560,510150.OF,133695940.66
561,510160.OF,837739227.9300001
562,510170.OF,143699182.45
563,510180.OF,20070264812.87
564,510190.OF,114791349.79
565,510210.OF,106640967.13
566,510220.OF,71378112.01000002
567,510230.OF,3907590530.780001
568,510270.OF,20704776.84
569,510290.OF,229185540.86
570,510300.OF,20321022282.29
571,510310.OF,4072353515.82
572,510330.OF,18698032802.05
573,510360.OF,1513755980.96
574,510410.OF,102722119.07
575,510440.OF,40656287.93
576,510500.OF,18517132829.56
577,510510.OF,1434835524.9
578,510560.OF,228040844.54
579,510580.OF,43125946.36
580,510630.OF,205902959.94
581,510650.OF,43923792.16999999
582,510660.OF,90564389.25999998
583,510680.OF,140175012.66
584,510710.OF,194170033.2
585,510810.OF,10089794709.43
586,510880.OF,1423667125.14
587,512000.OF,252711717.27
588,512010.OF,161728737.23
589,512070.OF,1087211118.82
590,512100.OF,101044359.17
591,512120.OF,78736274.08
592,512220.OF,401649641.22
593,512330.OF,100741684.06
594,512500.OF,866971180.93
595,512510.OF,267666144.5
596,512580.OF,207934649.06
597,512600.OF,6991382.68
598,512610.OF,21514926.32999999
599,512640.OF,40890387.23
600,512660.OF,360671663.61
601,512680.OF,288406684.1500001
602,512810.OF,92509309.54
603,512880.OF,696347612.39
604,512900.OF,326730455.7
605,512990.OF,408070320.86
606,513660.OF,1529110370.06
607,519027.OF,26421100.04
608,519032.OF,20747796.22
609,519034.OF,23653410.51
610,519100.OF,410423765.66
611,519116.OF,145085578.91
612,519117.OF,52441968.33999999
613,519180.OF,1640989530.21
614,519193.OF,199530446.4
615,519300.OF,2048121820.09
616,519606.OF,2920973115.95
617,519671.OF,262803847.11
618,519673.OF,593421551.0100001
619,519677.OF,518875285.49
620,519686.OF,483315531.05
621,519706.OF,65713979.15
622,519714.OF,774224232.62
623,519935.OF,33906500.51000001
624,519965.OF,200731254.24
625,519975.OF,1323435274.54
626,530010.OF,122871847.99
627,530015.OF,220866970.76
628,530018.OF,94282428.22000003
629,540006.OF,6874308034.179998
630,540007.OF,80714155.11999999
631,540008.OF,303497257.51
632,540009.OF,283139903.61
633,540010.OF,432619293.13
634,540012.OF,292745531.85
635,580008.OF,153205608.43
636,585001.OF,119141078.22
637,590007.OF,88919288.77
638,660008.OF,857891506.15
639,660011.OF,86087154.16
640,673090.OF,283509669.6
641,673100.OF,8445404.620000001
642,690008.OF,144664752.26
643,700002.OF,71529344.60999998
644,740101.OF,78821881.15
645,960000.OF,230804019.5699999
646,960022.OF,1251.17
