,thscode,ths_fund_scale_fund
221,002316.OF,436621376.2300001
222,002332.OF,1441070829.74
223,002333.OF,13442855.33
224,002334.OF,20551483.88
225,002335.OF,1926736.28
226,002385.OF,627659691.28
227,002387.OF,1325813019.52
228,002510.OF,517913502.46
229,002556.OF,34539050.94000001
230,002595.OF,88206920.5
231,002621.OF,3276517919.79
232,002656.OF,1704432035.17
233,002670.OF,634183558.6600001
234,002671.OF,250577481.18
235,002697.OF,1899790938.43
236,002871.OF,450795007.24
237,002872.OF,11584957.6
238,002900.OF,444104795.9599999
239,002903.OF,992385734.1899997
240,002906.OF,434767438.6800001
241,002907.OF,165735080.66
242,002952.OF,78011395.97999999
243,002974.OF,642449917.3600003
244,002977.OF,111209273.82
245,002978.OF,148854956.84
246,002979.OF,930700161.9700003
247,002980.OF,2546871489.76
248,002982.OF,44835077.18
249,002984.OF,168784385.76
250,002987.OF,736444804.9300001
251,003015.OF,186687694.88
252,003016.OF,119390553.39
253,003017.OF,457896943.4999999
254,003053.OF,130475773.8600001
255,003054.OF,73560190.00999999
256,003145.OF,93744490.11000001
257,003190.OF,28001547.65
258,003191.OF,79161895.15000002
259,003194.OF,297618195.0
260,003230.OF,654520240.1900002
261,003231.OF,626736128.4
262,003232.OF,9204761.479999999
263,003233.OF,13838188.79
264,003298.OF,136678936.8
265,003299.OF,54000192.98
266,003318.OF,1581395508.69
267,003359.OF,12932461.79
268,003366.OF,15133929.98
269,003416.OF,544671696.77
270,003475.OF,9177532.16
271,003548.OF,211162231.4
272,003578.OF,108061474.81
273,003579.OF,207511039.25
274,003624.OF,253504562.55
275,003625.OF,389609641.0700001
276,003634.OF,2821821155.76
277,003646.OF,57314963.03000001
278,003647.OF,8907983.96
279,003853.OF,1285458706.63
280,003865.OF,3172644.71
281,003876.OF,601982050.0600002
282,003884.OF,193389298.39
283,003885.OF,344380099.49
284,003956.OF,1300642693.56
285,003957.OF,68435512.36000001
286,003958.OF,336524271.19
287,003984.OF,3099871245.590001
288,003985.OF,554000076.11
289,003986.OF,1388137015.5
290,004069.OF,1571288241.61
291,004070.OF,5459114265.170001
292,004075.OF,2536082846.61
293,004189.OF,30675487.59
294,004190.OF,350778496.08
295,004191.OF,378863464.25
296,004194.OF,48489378.44999999
297,004195.OF,32762732.31
298,004241.OF,3184879921.479999
299,004342.OF,66973448.9
300,004343.OF,695703022.8000002
301,004344.OF,23110581.93
302,004345.OF,16425427.9
303,004346.OF,1753892.71
304,004347.OF,537536973.1
305,004348.OF,876965686.0600002
306,004408.OF,29308594.25
307,004409.OF,22544851.48
308,004410.OF,53206226.83
309,020011.OF,1539608451.85
310,020021.OF,733597564.7100002
311,040002.OF,2741468362.85
312,040180.OF,219064166.39
313,040190.OF,58007691.16000001
314,050002.OF,5747497466.350001
315,050013.OF,126909509.98
316,050021.OF,247709540.8499999
317,050024.OF,109305321.81
318,070023.OF,862106727.92
319,070030.OF,91968755.04999998
320,090010.OF,2237868451.57
321,090012.OF,182921151.98
322,100032.OF,4036892168.78
323,100038.OF,6632028803.129998
324,100053.OF,240316462.8300001
325,110003.OF,24022203098.03
326,110019.OF,1700032074.04
327,110020.OF,5630498956.110001
328,110021.OF,198472935.9800001
329,110022.OF,34709674276.38001
330,110026.OF,5183206179.440002
331,110030.OF,1481471446.22
332,159901.OF,9822458218.480001
333,159902.OF,1488446606.72
334,159903.OF,375700225.0099999
335,159905.OF,4092087360.590001
336,159906.OF,212638564.88
337,159907.OF,147781654.92
338,159908.OF,348691552.93
339,159909.OF,264306445.2
340,159910.OF,934350327.0400001
341,159912.OF,114429260.03
342,159913.OF,70797100.0
343,159915.OF,15593409940.38
344,159916.OF,605063163.04
345,159918.OF,99724020.91000001
346,159919.OF,25093040422.26
347,159922.OF,3677862359.060001
348,159923.OF,23917448.16999999
349,159925.OF,1553635679.58
350,159928.OF,8408221738.910001
351,159929.OF,583095500.95
352,159930.OF,197490259.09
353,159931.OF,95583124.49999999
354,159932.OF,38173443.45
355,159933.OF,332999502.49
356,159935.OF,76618949.72999999
357,159936.OF,387050474.55
358,159938.OF,1782901902.81
359,159939.OF,1529188520.84
360,159940.OF,1900769041.11
361,159943.OF,169082742.03
362,159944.OF,29133351.04
363,159945.OF,45082808.76000001
364,159948.OF,2439109830.46
365,159949.OF,10497194404.17
366,160119.OF,8231324590.389999
367,160133.OF,3177910025.32
368,160135.OF,220051340.27
369,160137.OF,139612987.21
370,160218.OF,995263066.87
371,160219.OF,1592473953.32
372,160221.OF,2819801903.03
373,160222.OF,8177720757.02
374,160223.OF,187965429.26
375,160225.OF,2973138857.09
376,160322.OF,110530322.69
377,160516.OF,259681925.44
378,160517.OF,379245408.68
379,160615.OF,469478387.1399999
380,160616.OF,285509621.76
381,160620.OF,132006796.24
382,160625.OF,1248275484.69
383,160626.OF,648069835.1000003
384,160628.OF,424679463.58
385,160629.OF,786438640.9000002
386,160630.OF,7218147549.88
387,160631.OF,2541981147.409999
388,160632.OF,5053559150.98
389,160633.OF,1577034636.69
390,160634.OF,166875276.95
391,160635.OF,99456720.11000001
392,160636.OF,115279614.09
393,160637.OF,156172981.24
394,160638.OF,321371640.28
395,160639.OF,132608487.26
396,160706.OF,15321713470.48
397,160716.OF,1251461975.52
398,160806.OF,291724651.7400001
399,160807.OF,367466497.28
400,160814.OF,101001954.5
401,160919.OF,303175228.0199999
402,161017.OF,5069059508.259999
403,161022.OF,2070029245.97
404,161024.OF,7635458483.82
405,161025.OF,886362121.04
406,161026.OF,5102282773.570001
407,161027.OF,2560770078.48
408,161028.OF,9417891265.710001
409,161029.OF,632859287.4499999
410,161030.OF,204831831.07
411,161031.OF,1872312263.11
412,161032.OF,443472085.54
413,161033.OF,293984453.7
414,161035.OF,633309220.24
415,161036.OF,81985822.24999999
416,161121.OF,585551915.0400001
417,161122.OF,699316916.7800001
418,161123.OF,629773926.4400002
419,161211.OF,332886553.6300001
420,161217.OF,143802445.71
421,161227.OF,445651063.52
422,161604.OF,6298294808.830002
423,161607.OF,939438141.42
424,161612.OF,120119139.95
425,161613.OF,627810121.29
426,161718.OF,29391423.0
427,161720.OF,3875740054.130001
428,161721.OF,422791187.85
429,161723.OF,1259808289.16
430,161724.OF,1161861043.58
431,161725.OF,56847417653.17
432,161726.OF,14984297515.34
433,161811.OF,117977134.77
434,161812.OF,2048689047.65
435,161907.OF,42700334.89
436,162107.OF,8961768.040000003
437,162208.OF,601191400.1900003
438,162213.OF,322857603.32
439,162216.OF,390433329.34
440,162307.OF,95483904.62000002
441,162413.OF,38436006.14
442,162509.OF,326280151.2499999
443,162510.OF,7753955.24
444,162711.OF,1415985138.56
445,162714.OF,36495845.6
446,162907.OF,44959131.11000001
447,163109.OF,1065020374.44
448,163110.OF,438836210.5699999
449,163113.OF,2805422585.720001
450,163114.OF,325530750.53
451,163115.OF,1335894345.39
452,163118.OF,327233090.2000001
453,163209.OF,57947919.94
454,163407.OF,5452329114.84
455,163808.OF,658918474.25
456,163821.OF,70891554.08999999
457,164205.OF,661002034.53
458,164304.OF,96119887.79999998
459,164401.OF,526611771.8000001
460,164402.OF,1303957301.46
461,164508.OF,40087929.3
462,164809.OF,111566351.45
463,164811.OF,14095734.49
464,164908.OF,155796633.48
465,165309.OF,473324006.96
466,165310.OF,173826914.99
467,165312.OF,619853159.8200002
468,165511.OF,169969887.9
469,165515.OF,207688637.69
470,165519.OF,223184864.85
471,165520.OF,948508579.1000001
472,165521.OF,340776308.03
473,165522.OF,91068914.12999998
474,165523.OF,365581935.4
475,165524.OF,38775772.59999999
476,165525.OF,1068201931.46
477,165806.OF,9003712.98
478,166802.OF,490826804.58
479,167301.OF,1306411316.68
480,167503.OF,108247741.9
481,167702.OF,26316734.65
482,167703.OF,78185054.72999999
483,168203.OF,83585200.11000001
484,168204.OF,308881194.61
485,180003.OF,2760381867.71
486,200002.OF,775999631.8299999
487,202015.OF,1176653708.6
488,202017.OF,239598942.2499999
489,202021.OF,402931409.39
490,202025.OF,138184894.06
491,202211.OF,275358555.93
492,206012.OF,403968297.5900001
493,213010.OF,392426688.49
494,217016.OF,294958411.4
495,217017.OF,250329209.75
496,217019.OF,220204921.28
497,217027.OF,635860490.19
498,233010.OF,54991472.01
499,240014.OF,1066378300.34
500,240016.OF,90520162.16999999
501,257060.OF,115366395.6
502,270010.OF,1843092201.92
503,270026.OF,134230024.81
504,290010.OF,51351998.75000001
505,310318.OF,698050592.8700002
506,310398.OF,949731639.43
507,320010.OF,370185635.62
508,320014.OF,377746423.2800001
509,320020.OF,75237112.18999998
510,320022.OF,1273689984.07
511,340006.OF,2382479818.98
512,360001.OF,2975313101.85
513,370023.OF,39018536.36
514,376510.OF,559294851.28
515,399001.OF,281945312.8800001
516,399011.OF,1276514572.95
517,410008.OF,274533782.5599999
518,410010.OF,9463425.93
519,450008.OF,406996850.6300001
520,450009.OF,3634384888.21
521,460220.OF,9661035.800000003
522,460300.OF,506786650.81
523,470007.OF,990657388.2599999
524,470068.OF,87793210.47999999
525,481009.OF,2389536631.66
526,481012.OF,2266404835.52
527,501005.OF,1236707191.17
528,501006.OF,482236521.6000001
529,501007.OF,57975604.26000001
530,501008.OF,25800020.59
531,501009.OF,1291384249.22
532,501010.OF,1633992834.61
533,501011.OF,182957695.79
534,501012.OF,52482345.75000001
535,501019.OF,701225491.4400002
536,501025.OF,407257023.72
537,501029.OF,1193263657.56
538,501030.OF,159093260.59
539,501031.OF,86498762.55999999
540,501050.OF,1568321493.63
541,502000.OF,508209340.13
542,502003.OF,182450982.49
543,502006.OF,213361318.67
544,502010.OF,719391402.4400002
545,502013.OF,497550140.5799999
546,502020.OF,27744210.94
547,502023.OF,120833642.26
548,502048.OF,269400513.03
549,502053.OF,299120196.48
550,502056.OF,143361354.88
551,510010.OF,320268136.93
552,510020.OF,150548672.76
553,510030.OF,122525232.06
554,510050.OF,56574284709.86999
555,510060.OF,111972229.62
556,510090.OF,85812980.68
557,510110.OF,35787391.55
558,510120.OF,22886731.83
559,510130.OF,243378687.2700001
560,510150.OF,527105271.41
561,510160.OF,405862391.68
562,510170.OF,144557115.33
563,510180.OF,23904437655.61
564,510190.OF,77234310.36
565,510210.OF,471277989.73
566,510220.OF,23204342.06
567,510230.OF,4924646067.06
568,510270.OF,14531320.71
569,510290.OF,151624654.41
570,510300.OF,45748405887.27999
571,510310.OF,9406771193.650003
572,510330.OF,30588190074.58001
573,510360.OF,2593815006.02
574,510410.OF,361028346.7299999
575,510440.OF,39155584.16
576,510500.OF,38237045257.24
577,510510.OF,3399978115.9
578,510560.OF,809348527.8499999
579,510580.OF,898984640.8499999
580,510630.OF,401913563.0899999
581,510650.OF,76481352.03000002
582,510660.OF,118078165.35
583,510680.OF,158372576.26
584,510710.OF,732015826.9499999
585,510810.OF,10139555032.29
586,510880.OF,9129391499.29
587,512000.OF,22958288853.58
588,512010.OF,2251048038.53
589,512070.OF,3487381035.15
590,512100.OF,540054049.6
591,512120.OF,163036688.38
592,512220.OF,460880994.65
593,512330.OF,1050662891.57
594,512500.OF,5403226539.900001
595,512510.OF,546758986.7299999
596,512580.OF,2220656587.58
597,512600.OF,197661854.37
598,512610.OF,16835832.86
599,512640.OF,83630499.43999998
600,512660.OF,10259238525.81
601,512680.OF,2470409894.78
602,512810.OF,134459643.15
603,512880.OF,38905418417.65
604,512900.OF,6761857008.840001
605,512990.OF,839750345.6999998
606,513660.OF,1050506328.39
607,519027.OF,17095316.1
608,519032.OF,14104346.57
609,519034.OF,21355997.12
610,519100.OF,410149080.33
611,519116.OF,690752827.6
612,519117.OF,30443720.63
613,519180.OF,1233373651.18
614,519193.OF,2091349468.2
615,519300.OF,1846861660.86
616,519606.OF,774855927.4300001
617,519671.OF,2005677480.33
618,519673.OF,765239017.3100002
619,519677.OF,293211570.97
620,519686.OF,328281172.07
621,519706.OF,73409283.51
622,519714.OF,1292658419.44
623,519935.OF,48824629.19
624,519965.OF,164900710.15
625,519975.OF,427002364.3199999
626,530010.OF,88681731.65
627,530015.OF,595866652.5600001
628,530018.OF,110450864.97
629,540006.OF,3273929060.670001
630,540007.OF,93637613.05
631,540008.OF,7403633673.310002
632,540009.OF,331260343.2800001
633,540010.OF,1400344019.57
634,540012.OF,362970604.49
635,580008.OF,417314961.4499999
636,585001.OF,83810604.10000002
637,590007.OF,34145301.73
638,660008.OF,657292215.95
639,660011.OF,76853754.9
640,673090.OF,163014841.16
641,673100.OF,369699669.09
642,690008.OF,85760471.79
643,700002.OF,108258059.87
644,740101.OF,55199995.43
645,960000.OF,173032877.73
646,960022.OF,0.0
