,thscode,ths_fund_scale_fund
556,510090.OF,104508428.86
557,510110.OF,39039106.87000001
558,510120.OF,32441424.27
559,510130.OF,255633664.96
560,510150.OF,115901144.39
561,510160.OF,817876238.36
562,510170.OF,148931272.83
563,510180.OF,17133603326.58
564,510190.OF,120804229.81
565,510210.OF,143384625.83
566,510220.OF,24129303.0
567,510230.OF,3376710991.77
568,510270.OF,23801930.02
569,510290.OF,259253426.09
570,510300.OF,17890067315.64
571,510310.OF,3671206283.17
572,510330.OF,16144916148.87
573,510360.OF,1682848400.42
574,510410.OF,77504068.02
575,510440.OF,40318215.27
576,510500.OF,16728437054.32
577,510510.OF,1365129465.08
578,510560.OF,265443058.59
579,510580.OF,7210522.509999999
580,510630.OF,208180938.68
581,510650.OF,50218494.97999999
582,510660.OF,92898250.75999999
583,510680.OF,4636365.75
584,510710.OF,139182664.35
585,510810.OF,14961051405.46
586,510880.OF,825639862.7899997
587,512000.OF,151053234.69
588,512010.OF,33828624.01
589,512070.OF,1354218705.34
590,512100.OF,158808487.33
591,512120.OF,63299361.31999999
592,512220.OF,500133681.7999999
593,512330.OF,148234341.93
594,512500.OF,946712657.7899998
595,512510.OF,340291455.3699999
596,512580.OF,686415511.3000001
597,512600.OF,12843298.06
598,512610.OF,26054040.06
599,512640.OF,55321667.19
600,512660.OF,150763769.8900001
601,512680.OF,346222690.77
602,512810.OF,190716371.39
603,512880.OF,146554124.47
604,512900.OF,
605,512990.OF,329190530.4999999
606,513660.OF,1995520250.43
607,519027.OF,30715815.84999999
608,519032.OF,24059062.82
609,519034.OF,27287029.07
610,519100.OF,365729970.71
611,519116.OF,75357906.82000001
612,519117.OF,58940155.34
613,519180.OF,1580361285.48
614,519193.OF,971189051.31
615,519300.OF,1919621895.77
616,519606.OF,567509877.8
617,519671.OF,172168973.9
618,519673.OF,662132074.2800001
619,519677.OF,755485177.2199999
620,519686.OF,499571581.8599999
621,519706.OF,43951999.16
622,519714.OF,46077560.09
623,519935.OF,110953682.05
624,519965.OF,209410792.22
625,519975.OF,3974097827.47
626,530010.OF,110929949.85
627,530015.OF,99297029.9
628,530018.OF,71258568.13
629,540006.OF,2544558364.91
630,540007.OF,88576742.11
631,540008.OF,466289798.15
632,540009.OF,149245531.29
633,540010.OF,514467608.2300001
634,540012.OF,62285008.71999999
635,580008.OF,95162980.41000001
636,585001.OF,118481995.33
